Celebrity,Name,Nationality,Gender,Estimated Net Worth,Age at end of 2023,Birth Date,Birth Month,Birth Day,Birth Year,Industry
Elon Musk,Elon Reeve Musk,ZA,Male,180000000000,52,06/28/1971,June,28,1971,"Entrepreneur, Technology"
Jeff Bezos,Jeffrey Preston Jorgensen,US,Male,110000000000,59,01/12/1964,January,12,1964,"Entrepreneur, Technology"
Bill Gates,William Henry Gates III,US,Male,115000000000,68,10/28/1955,October,28,1955,"Entrepreneur, Technology"
Whitney Wolfe Herd,Whitney Wolfe,US,Female,510000000,34,07/05/1989,July,5,1989,"Entrepreneur, Technology"
Oprah Winfrey,Oprah Gail Winfrey,US,Female,3500000000,69,01/29/1954,January,29,1954,Television
George Lucas,George Walton Lucas Jr.,US,Male,5400000000,79,05/14/1944,May,14,1944,Film
Steven Spielberg,Steven Allan Spielberg,US,Male,4000000000,77,12/18/1946,December,18,1946,Film
Jami Gertz,Jami Beth Gertz,US,Female,8000000000,58,10/28/1965,October,28,1965,Film
Kanye West,Kanye Omari West,US,Male,410000000,46,06/08/1977,June,8,1977,"Music, Fashion, Entrepreneur"
Kim Kardashian,Kimberly Nicole Kardashian,US,Female,1700000000,43,10/21/1980,October,21,1980,"Television, Entrepreneur, Fashion"
Khloe Kardashian,Khloe Alexandra Kardashian,US,Female,60000000,39,06/27/1984,June,27,1984,"Television, Entrepreneur, Fashion"
Kourtney Kardashian,Kourtney Mary Kardashian,US,Female,65000000,44,04/18/1979,April,18,1979,"Television, Entrepreneur, Fashion"
Kendall Jenner,Kendall Nicole Jenner,US,Female,60000000,28,11/03/1995,November,3,1995,"Television, Modeling, Fashion"
Kylie Jenner,Kylie Kristen Jenner,US,Female,750000000,26,08/10/1997,August,10,1997,"Television, Entrepreneur, Fashion"
Kris Jenner,Kristen Mary Kardashian,US,Female,170000000,68,11/05/1955,November,5,1955,"Television, Entrepreneur"
Caitlyn Jenner,William Bruce Jenner,US,Trans Female,25000000,74,11/28/1949,November,28,1949,"Television, Athletics"
Michael Jordan,Michael Jeffrey Jordan,US,Male,3000000000,60,02/17/1963,February,17,1963,"Atheltics, Entrepreneur"
Jay-Z,Shawn Corey Carter,US ,Male,2500000000,54,12/04/1969,December,4,1969,"Music, Entrepreneur"
Beyonce,Beyonce Giselle Knowles,US,Female,540000000,42,11/04/1981,November,4,1981,"Music, Film, Entrepreneur"
The Rock,Dwayne Douglas Johnson,US,Male,800000000,51,05/02/1972,May,2,1972,"Wrestling, Film, Entrepreneur"
Lil Wayne,Dwayne Michael Carter Jr.,US,Male,170000000,41,09/27/1982,September,27,1982,Music
Drake,Aubrey Drake Graham,CA,Male,250000000,37,10/24/1986,October,24,1986,Music
Nicki Minaj,Onika Tanya Maraj-Petty,TT,Female,150000000,41,12/08/2982,December,8,1982,Music
Eminem,Marshall Bruce Mathers III,US,Male,250000000,51,10/17/1972,October,17,1972,Music
DJ Khaled,Khaled Khaled,US,Male,75000000,48,11/26/1975,November,26,1975,Music
Tom Cruise,Thomas Cruise Mapother IV,US,Male,600000000,61,07/03/1962,July,3,1962,Film
Keanu Reeves,Keanu Charles Reeves,CA,Male,380000000,59,09/02/1964,September,2,1964,Film
Tom Hanks,Thomas Jeffrey Hanks,US,Male,400000000,67,07/09/1956,July,9,1956,Film
Brad Pitt,William Bradley Pitt,US,Male,300000000,60,12/18/1963,December,18,1963,Film
Denzel Washington,Denzel Hayes Washington Jr.,US,Male,280000000,69,12/28/1954,December,28,1954,Film
Jack Black,Thomas Jacob Black,US,Male,50000000,54,08/28/1969,August,28,1969,"Music, Film"
Jenna Ortega,Jenna Marie Ortega,US,Female,5000000,22,09/27/2002,September,27,2001,"Film, Television"
Natalie Portman,Natalie Hershlag,IL,Female,90000000,42,06/09/1981,June,9,1981,Film
Robert Downey Jr.,Robert John Downey Jr.,US,Male,300000000,58,04/04/1965,April,4,1965,Film
Chris Evans,Christopher Robert Evans,US,Male,110000000,42,06/13/1981,June,13,1981,Film
Chris Hemsworth,Christopher Hemsworth,AU,Male,130000000,40,08/11/1983,August,11,1983,Film
Mark Ruffalo,Mark Alan Ruffalo,US,Male,35000000,56,11/27/1967,November,27,1967,Film
Gwyneth Paltrow,Gwyneth Kate Paltrow,US,Female,200000000,51,09/27/1972,September,27,1972,"Film, Entrepreneur"
Scarlett Johansson,Scarlett Ingrid Johansson,US,Female,165000000,39,11/22/1984,November,22,1984,Film
Jeremy Renner,Jeremy Lee Renner,US,Male,80000000,53,01/07/1971,January,7,1971,Film
Chris Pratt,Christopher Michael Pratt,US,Male,40000000,44,06/21/1979,June,21,1979,Film
Dave Bautista,David Michael Bautista Jr. ,US,Male,16000000,54,01/18/1969,January,18,1969,"Wrestling, Film"
Vin Diesel,Mark Sinclair,US,Male,225000000,56,07/18/1967,July,18,1967,Film
Bradley Cooper,Bradley Charles Cooper,US,Male,120000000,49,01/25/1975,January,25,1975,Film
Zoe Saldana,Zoe Yadira Saldana-Perego,US,Female,40000000,45,06/19/1978,June,19,1978,Film
Paul Rudd,Paul Stephen Rudd,US,Male,70000000,54,04/06/1969,April,6,1969,Film
Evangeline Lilly,Nicole Evangeline Lilly,CA,Female,5000000,44,08/03/1979,August,3,1979,Film
Tom Holland,Thomas Stanley Holland,GB,Male,25000000,27,06/01/1996,June,1,1996,Film
Zendaya,Zendaya Maree Stoermer Coleman,US,Female,20000000,27,09/01/1996,September,1,1996,"Music, Film, Fashion"
Ryan Reynolds,Ryan Rodney Reynolds,CA,Male,350000000,47,10/23/1976,October,23,1976,"Film, Entrepreneur"
Josh Brolin,Josh James Brolin,US,Male,50000000,55,02/12/1968,February,12,1968,Film
Hugh Jackman,Hugh Michael Jackman,AU,Male,180000000,55,10/12/1968,October,12,1968,Film
Sir Patrick Stewart,Patrick Stewart,GB,Male,75000000,83,07/13/1940,July,13,1940,Film
Tom Hiddleston,Thomas William Hiddleston,GB,Male,40000000,42,02/09/1981,February,9,1981,Film
Samuel L. Jackson,Samuel Leroy Jackson,US,Male,250000000,75,12/21/1948,December,21,1948,Film
John Travolta,John Joseph Travolta,US,Male,250000000,69,02/18/1954,February,18,1954,Film
Tyrese Gibson,Tyrese Darnell Gibson,US,Male,6000000,45,12/30/1978,December,30,1978,"Film, Music"
Ludacris,Christopher Brian Bridges,US,Male,30000000,46,09/11/1977,September,11,1977,"Music, Film"
Michael B. Jordan,Michael Bakari Jordan,US,Male,25000000,36,02/09/1987,February,9,1987,Film
Andy Serkis,Andrew Clement Serkis,GB,Male,28000000,59,04/20/1964,April,20,1964,Film
Elizabeth Olson,Elizabeth Chase Olson,US,Female,11000000,34,02/16/1989,February,16,1989,Film
Gal Gadot,Gal Gadot-Varsano,IL,Female,30000000,38,04/30/2985,April,30,1985,Film
Ben Affleck,Benjamin Geza Affleck-Boldt,US,Male,150000000,51,08/15/1972,August,15,1972,"Film, Entrepreneur"
Jason Mamoa,Joseph Jason Namahaeha Mamoa,US,Male,25000000,44,08/01/1979,August,1,1979,Film
Jennifer Lopez,Jennifer Lynn Affleck,US,Female,400000000,54,07/24/1969,July,24,1969,"Music, Film"
Jennifer Aniston,Jennifer Joanna Aniston,US,Female,320000000,54,02/11/1969,February,11,1969,"Film, Television"
Steve Carell,Steven John Carell,US,Male,90000000,61,08/16/1962,August,16,1962,"Film, Television"
Kevin Hart,Kevin Darnell Hart,US,Male,450000000,44,06/07/1979,June,7,1979,"Comedy, Film"
Sir Anthony Hopkins,Philip Anthony Hopkins,GB,Male,160000000,86,12/31/1937,December,31,1937,Film
Al Pacino,Alfredo James Pacino,US,Male,120000000,83,04/25/1940,April,25,1940,Film
Robert De Niro,Robert Anthony De Niro,US,Male,500000000,80,08/17/1943,August,17,1943,Film
Russell Crowe,Ressell Ira Crowe,NZ,Male,100000000,59,04/07/1964,April,7,1964,Film
Bruce Willis,Walter Bruce Willis,US,Male,250000000,68,03/19/1955,March,19,1955,Film
Meryl Streep,Mary Louise Streep,US,Female,160000000,74,06/22/1949,June,22,1949,Film
Johnny Depp,John Christopher Depp II,US,Male,150000000,60,06/09/1963,June,9,1963,Film
Christian Bale,Christian Charles Philip Bale,GB,Male,90000000,49,01/30/1974,January,30,1974,Film
Viola Davis,Viola Davis,US,Female,25000000,58,08/11/1965,August,11,1965,"Film, Television"
Angelina Jolie,Angelina Jolie Voight,US,Female,120000000,48,06/04/2975,June,4,2975,Film
Paris Hilton,Paris Whitney Hilton,US,Female,300000000,42,02/17/1981,February,17,1981,Entrepreneur
Leonardo Dicaprio,Leonardo Wilhelm Dicaprio,US,Male,300000000,49,11/11/1974,November,11,1974,Film
Kate Winslet,Kate Elizabeth Winslet,GB,Female,65000000,48,10/05/1975,October,5,1975,Film
Arnold Schwarzenegger,Arnold Alois Schwarzenegger,AT,Male,450000000,76,07/30/1947,July,30,1947,"Film, Politics"
Sylvester Stallone,Sylvester Gardenzio Stallone,US,Male,400000000,77,07/06/1946,July,6,1946,Film
Nicolas Cage,Nicolas Kim Coppola,US,Male,25000000,59,01/07/1964,January,7,1964,Film
Amy Adams,Amy Lou Adams,US,Female,60000000,49,08/20/1974,August,20,1974,Film
Morgan Freeman,Morgan Porterfield Freeman,US,Male,250000000,86,06/01/1937,June,1,1937,Film
Edward Nortan,Edward Harrison Norton,US,Male,300000000,54,08/18/1969,August,18,1969,Film
Charlize Theron,Charlize Theron,ZA,Female,170000000,48,08/07/1975,August,7,1975,Film
Joaquin Phoenix,Joaquin Rafael Phoenix,US,Male,60000000,49,10/28/1974,October,28,1974,Film
Margot Robbie,Margot Elise Robbie,AU,Female,40000000,33,07/02/1990,July,2,1990,Film
Lady Gaga,Stefani Joanne Angelina Germanotta,US,Female,360000000,37,03/28/1986,March,28,1986,"Music, Film"
Will Smith,Willard Carroll Smith II ,US,Male,350000000,55,09/25/1968,September,25,1968,"Music, Film"
Jackie Chan,Jackie Chan,HK,Male,400000000,69,04/07/1954,April,7,1954,Film
Chris Tucker,Christopher Tucker,US,Male,5000000,52,08/31/1971,August,31,1971,Film
Tommy Lee Jones,Tommy Lee Jones,US,Male,85000000,77,09/15/1946,September,15,1946,Film
Mel Gibson,Mel Columcille Gerard Gibson,US,Male,429000000,67,01/03/1956,January,3,1956,Film
Jack Nicholson,John Joseph Nicholson,US,Male,420000000,86,04/22/1937,April,22,1937,Film
George Clooney,George Timothy Clooney,US,Male,500000000,62,05/06/1961,May,6,1961,"Film, Entrepreneur"
Octavia Spencer,Octavia Lenora Spener,US,Female,15000000,53,06/25/1970,June,25,1970,Film
Reese Witherspoon,Laura Jeanne Reese Witherspoon,US,Female,440000000,47,03/22/1976,March,22,1976,"Film, Television, Entrepreneur"
Tom Hardy,Edward Thomas Hardy,GB,Male,55000000,46,09/15/1977,September,15,1977,Film
Orlando Bloom,Orlando Jonathan Blanchard Copeland Bloom,GB,Male,35000000,46,01/13/1977,January,13,1977,Film
Sir Ian McKellen,Ian Murray McKellen,GB,Male,70000000,84,05/25/1939,May,25,1939,Film
Sandra Bullock,Sandra Annette Bullock,US,Female,250000000,59,07/26/1964,July,26,1964,Film
Benedict Cumberbatch,Benedict Timothy Carlton Cumberbatch CBE,GB,Male,40000000,47,07/19/1976,July,19,1976,"Film, Television"
Nicole Kidman,Nicole Mary Kidman,AU,Female,250000000,56,06/20/1967,June,20,1967,"Film, Television"
Gerard Butler,Gerard James Butler,GB,Male,80000000,54,11/13/1969,November,13,1969,Film
Cate Blanchett,Catherine Elise Blanchett,AU,Female,95000000,54,05/14/1969,May,14,1969,Film
Ryan Gosling,Ryan Thomas Gosling,CA,Male,70000000,43,11/12/1980,November,12,1980,"Film, Music"
Michael Fassbender,Michael Fassbender,IE,Male,35000000,46,04/02/1977,April,2,1977,Film
Michael Keaton,Michael John Douglas,US,Male,40000000,72,09/05/1951,September,5,1951,Film
Idris Elba,Idrissa Akuna Elba,GB,Male,40000000,51,09/06/1972,September,6,1972,"Film, Television, Music"
Adam Driver,Adam Douglas Driver,US,Male,16000000,40,11/19/1983,November,19,1983,Film
Rachel Weisz,Rachel Hannah Weisz,GB,Female,45000000,53,03/07/1970,March,7,1970,Film
Brendan Fraser,Brenden James Fraser,US,Male,20000000,55,12/03/1968,December,3,1968,Film
Keira Knightley,Keira Christina Knightley,GB,Female,80000000,38,03/26/1985,March,26,1985,Film
Gary Oldman,Gary Leonard Oldman,GB,Male,40000000,65,03/21/1958,March,21,1958,Film
Liam Neeson,Liam John Neeson,IE,Male,145000000,71,06/07/1952,June,7,1952,Film
Harrison Ford,Harrison Ford,US,Male,300000000,81,07/13/1942,July,13,1942,Film
Eddy Murphy,Edward Regan Murphy,US,Male,200000000,62,04/03/1961,April,3,1961,"Comedy, Film"
Mark Hamill,Mark Richard Hamill,US,Male,18000000,72,09/25/1951,September,25,1951,"Film, Voice Acting"
Jake Gyllenhaal,Jacob Benjamin Gyllenhaal,US,Male,80000000,43,12/19/1980,December,19,1980,Film
Jim Carrey,James Eugene Carrey,CA,Male,180000000,61,01/17/1962,January,17,1962,"Comedy, Film"
Adam Sandler,Adam Richard Sandler,US,Male,440000000,57,09/09/1966,September,9,1966,"Comedy, Film"
Ben Stiller,Benjamin Edward Meara Stiller,US,Male,215000000,58,11/30/1965,November,30,1965,"Comedy, Film"
Julia Roberts,Julia Fiona Roberts,US,Female,250000000,56,10/28/1967,October,28,1967,Film
Emma Stone,Emily Jean Stone,US,Female,40000000,35,11/06/1988,November,6,1988,Film
Danny DeVito,Daniel Michael DeVito Jr.,US,Male,80000000,79,11/17/1944,November,17,1944,Film
Michelle Pfeiffer,Michelle Marie Pfeiffer,US,Female,250000000,65,04/29/1958,April,29,1958,Film
Jennifer Lawrence,Jennifer Shrader Lawrence,US,Female,160000000,33,08/15/1990,August,15,1990,Film
Ewen McGregor,Ewan Gordon McGregor,GB,Male,25000000,52,03/31/1971,March,31,1971,"Film, Television"
Rachel McAdams,Rachel Anne McAdams,CA,Female,25000000,45,11/17/1978,November,17,1978,Film
Timothee Chalamet,Timothée Hal Chalamet,US,Male,25000000,28,12/27/1995,December,27,1995,Film
Woody Harrelson,Woodrow Tracy Harrelson,US,Male,65000000,62,07/23/1961,July,23,1961,"Film, Television"
Benicio Del Toro,Benicio Monserrate Rafael del Toro Sánchez,PR,Male,45000000,56,02/19/1967,February,19,1967,Film
Chris Pine,Christopher Whitelaw Pine,US,Male,30000000,43,08/26/1980,August,26,1980,Film
Lucy Liu,Lucy Alexis Liu,US,Female,18000000,55,12/02/1968,December,2,1968,"Film, Television"
Cameron Diaz,Cameron Michelle Diaz,US,Female,140000000,51,08/30/1972,August,30,1972,Film
Halle Berry,Maria Halle Berry,US,Female,90000000,57,08/14/1966,August,14,1966,"Film, Television"
Drew Barrymore,Drew Blythe Barrymore,US,Female,125000000,48,02/22/1975,February,22,1975,"Film, Entrepreneur"
Matt Damon,Matthew Paige Damon,US,Male,170000000,53,10/08/1970,October,8,1970,Film
Daniel Craig,Daniel Wroughton Craig,GB,Male,160000000,55,03/02/1968,March,2,1968,Film
Mark Wahlberg,Mark Robert Michael Wahlberg,US,Male,400000000,52,06/05/1971,June,5,1971,"Film, Entrepreneur"
Robert Pattinson,Robert Douglas Thomas Pattinson,GB,Male,100000000,37,05/13/1986,May,13,1986,Film
Tobey Maguire,Tobias Vincent Maguire,US,Male,75000000,48,06/27/1975,June,27,1975,Film
Andrew Garfield,Andrew Russell Garfield,GB,Male,16000000,40,08/20/1983,August,20,1983,Film
Sebastian Stan,Sebastian Stan,RO,Male,4000000,41,08/13/1982,August,13,1982,"Film, Television"
Josh Hutcherson,Joshua Ryan Hutcherson,US,Male,20000000,31,10/12/1992,October,12,1992,Fim
Oscar Isaac,Óscar Isaac Hernández,GT,Male,12000000,44,03/09/1979,March,9,1979,"Fim, Music"
Daniel Kaluuya,Daniel Kaluuya,GB,Male,15000000,34,05/24/1989,May,24,1989,Fim
Jude Law,David Jude Heyworth Law,GB,Male,650000000,50,12/29/1972,December,29,1972,Fim
Colin Farrell,Colin James Farrell,IE,Male,80000000,47,05/31/1976,May,31,1976,Fim
Ethan Hawke,Ethan Green Hawke,US,Male,55000000,53,11/06/1970,November,6,1970,Fim
John C. Reilly,John Christopher Reilly,CU,Male,50000000,58,05/24/1965,May,24,1965,Fim
Channing Tatum,Channing Matthew Tatum,US,Male,80000000,43,04/26/1980,April,26,1980,Fim
Jared Leto,Jared Joseph Leto,US,Male,90000000,52,12/26/1971,December,26,1971,"Fim, Music"
Liev Schreiber,Isaac Liev Schreiber,US,Male,45000000,56,10/04/1967,October,4,1967,Fim
Ana de Armas,Ana Celia de Armas Caso,US,Female,6000000,35,04/30/1988,April,30,1988,Fim
Anya Taylor-Joy,Anya Josephine Marie Taylor-Joy,US,Female,7000000,27,04/16/1996,April,16,1996,Fim
Karen Gillan,Karen Sheila Gillan,GB,Female,2000000,36,11/28/1987,November,28,1987,Fim
Hailee Steinfeld,Hailee Puring Steinfeld,US,Female,12000000,27,12/11/1996,December,11,1996,"Film, Music"
Jennifer Garner,Jennifer Anne Garner,US,Female,80000000,51,04/17/1972,April,17,1972,"Film, Television"
Jessica Chastain,Jessica Michelle Chastain,US,Female,40000000,46,03/24/1977,March,24,1977,Fim
Bryce Dallas Howard,Bryce Dallas Howard,US,Female,20000000,42,03/02/1981,March,2,1981,Fim
Lupita Nyong'o,Lupita Amondi Nyong'o,KE,Female,10000000,40,03/01/1983,March,1,1983,Fim
Catherine Zeta-Jones,Catherine Zeta-Jones,GB,Female,150000000,54,09/25/1969,September,25,1969,Fim
Tessa Thompson,Tessa Lynn Thompson,US,Female,4000000,40,11/03/1983,November,3,1983,Fim
Jamie Lee Curtis,Jamie Lee Haden-Guest,US,Female,60000000,65,11/22/1958,November,22,1958,Fim
Courteney Cox,Courteney Bass Cox,US,Female,160000000,59,06/15/1964,June,15,1964,"Film, Television"
Letitia Wright,Letitia Michelle Wright,GB,Female,700000,30,10/31/1993,October,31,1993,Fim
Renee Zellweger,Renée Kathleen Zellweger,US,Female,45000000,54,04/25/1969,April,25,1969,Fim
Tilda Swinton,Katherine Matilda Swinton,GB,Female,12000000,63,11/05/1960,November,5,1960,Fim
Regina Hall,Regina Lee Hall,US,Female,2000000,53,12/12/1970,December,12,1970,Fim
Tiffany Haddish,Tiffany Sarac Haddish,US,Female,6000000,44,12/03/1979,December,3,1979,"Film, Comedy"
James Paul McCartney,James Paul McCartney,GB,Male,1200000000,81,06/18/1942,June,18,1942,Music
Bob Dylan ,Robert Allen Zimmerman,US,Male,500000000,82,05/24/1941,May,24,1941,Music
Mick Jagger ,Michael Philip Jagger,GB,Male,360000000,80,07/26/1943,July,26,1943,Music
Keith Richards ,Keith Richards,GB,Male,500000000,80,12/18/1943,December,18,1943,Music
Elton John ,Reginald Kenneth Dwight,GB,Male,500000000,76,03/25/1947,March,25,1947,Music
Stevie Wonder ,Stevland Hardaway Judkins,US,Male,200000000,73,05/13/1950,May,13,1950,Music
Bruce Springsteen ,Bruce Frederick Joseph Springsteen,US,Male,650000000,74,09/23/1949,September,23,1949,Music
Paul Simon ,Paul Frederic Simon,US,Male,200000000,82,10/13/1941,October,13,1941,Music
Art Garfunkel ,Arthur Ira Garfunkel,US,Male,97000000,82,11/05/1941,November,5,1941,Music
Billy Joel ,William Martin Joel,US,Male,225000000,74,05/09/1949,May,9,1949,Music
Jon Bon Jovi ,John Francis Bongiovi Jr.,US,Male,450000000,61,03/02/1962,March,2,1962,Music
Sting ,Gordon Sumner,GB,Male,450000000,72,10/02/1951,October,2,1951,Music
Phil Collins ,Philip David Charles Collins,GB,Male,300000000,72,01/30/1951,January,30,1951,Music
Madonna ,Madonna Louise Ciccone,US,Female,850000000,65,08/16/1958,August,16,1958,Music
Bono,Paul David Hewson,IE,Male,700000000,63,05/10/1960,May,10,1960,Music
Adele ,Adele Laurie Blue Adkins,GB,Female,220000000,35,05/05/1988,May,5,1988,Music
Ed Sheeran ,Edward Christopher Sheeran,GB,Male,200000000,32,02/17/1991,February,17,1991,Music
Justin Bieber ,Justin Drew Bieber,CA,Male,280000000,29,03/01/1994,March,1,1994,Music
Rihanna ,Robyn Rihanna Fenty,BB,Female,1400000000,35,02/20/1988,February,20,1988,Music
Katy Perry ,Katheryn Elizabeth Hudson,US,Female,330000000,39,10/25/1984,October,25,1984,Music
Bruno Mars ,Peter Gene Hernandez,US,Male,175000000,38,10/08/1985,October,8,1985,Music
Ariana Grande ,Ariana Grande-Butera,US,Female,240000000,30,06/26/1993,June,26,1993,Music
Kendrick Lamar ,Kendrick Lamar Duckworth,US,Male,75000000,36,06/17/1987,June,17,1987,Music
Taylor Hawkins,Oliver Taylor Hawkins,US,Male,50000000,51,02/17/1972,February,17,1972,Music
Dave Grohl,David Eric Grohl,US,Male,330000000,54,01/14/1969,January,14,1969,Music
Justin Timberlake ,Justin Randall Timberlake,US,Male,250000000,42,01/31/1981,January,31,1981,Music
Alicia Keys ,Alicia Augello-Cook,US,Female,150000000,42,01/25/1981,January,25,1981,Music
Pharrell Williams ,Pharrell Lanscilo Williams,US,Male,250000000,50,04/05/1973,April,5,1973,Music
John Legend ,John Roger Stephens,US,Male,100000000,45,12/28/1978,December,28,1978,Music
Gwen Stefani ,Gwen Renée Stefani,US,Female,160000000,54,10/03/1969,October,3,1969,"Music, Fashion"
Christina Aguilera ,Christina María Aguilera,US,Female,175000000,43,12/18/1980,December,18,1980,Music
Shakira ,Shakira Isabel Mebarak Ripoll,CO,Female,300000000,46,02/02/1977,February,2,1977,Music
Chris Martin,Christopher Anthony John Martin,GB,Male,170000000,46,03/02/1977,March,2,1977,Music
Thom Yorke ,Thomas Edward Yorke,GB,Male,50000000,55,10/07/1968,October,7,1968,Music
Sia ,Sia Kate Isobelle Furler,AU,Female,30000000,48,12/18/1975,December,18,1975,Music
Adam Levine,Adam Noah Levine,US,Male,160000000,44,03/18/1979,March,18,1979,Music
Ellie Goulding ,Elena Jane Goulding,GB,Female,30000000,37,12/30/1986,December,30,1986,Music
Hozier ,Andrew John Hozier-Byrne,IE,Male,1800000,33,03/17/1990,March,17,1990,Music
Lorde ,Ella Marija Lani Yelich-O'Connor,NZ,Female,16000000,27,11/07/1996,November,7,1996,Music
Sam Smith ,Samuel Frederick Smith,GB,Male,45000000,31,05/19/1992,May,19,1992,Music
John Mayer ,John Clayton Mayer,US,Male,70000000,46,10/16/1977,October,16,1977,Music
Celine Dion ,Céline Marie Claudette Dion,CA,Female,800000000,55,03/30/1968,March,30,1968,Music
Shania Twain ,Eilleen Regina Edwards,CA,Female,400000000,58,08/28/1965,August,28,1965,Music
Carlos Santana ,Carlos Augusto Alves Santana,MX,Male,120000000,76,07/20/1947,July,20,1947,Music
Eric Clapton ,Eric Patrick Clapton,GB,Male,350000000,78,03/30/1945,March,30,1945,Music
Mark Knopfler ,Mark Freuder Knopfler,GB,Male,115000000,74,08/12/1949,August,12,1949,Music
Janet Jackson ,Janet Damita Jo Jackson,US,Female,120000000,57,05/16/1966,May,16,1966,Music
Enya ,Eithne Pádraigín Ní Bhraonáin,IE,Female,140000000,62,05/17/1961,May,17,1961,Music
Sade ,Helen Folasade Adu,GB,Female,70000000,64,01/16/1959,January,16,1959,Music
Beck ,Bek David Campbell,US,Male,25000000,53,07/08/1970,July,8,1970,Music
The Weeknd ,Abel Makkonen Tesfaye,CA,Male,300000000,33,02/16/1990,February,16,1990,Music
Lana Del Rey ,Elizabeth Woolridge Grant,US,Female,30000000,38,06/21/1985,June,21,1985,Music
Jack White ,John Anthony Gillis,US,Male,60000000,48,07/09/1975,July,9,1975,Music
Florence Welch,Florence Leontine Mary Welch,GB,Female,14000000,37,08/28/1986,August,28,1986,Music
Justin Vernon,Justin DeYarmond Edison Vernon,US,Male,10000000,42,04/30/1981,April,30,1981,Music
Alex Turner,Alexander David Turner,GB,Male,30000000,37,01/06/1986,January,6,1986,Music
Dan Auerbach,Daniel Quine Auerbach,US,Male,22000000,44,05/14/1979,May,14,1979,Music
Ezra Koenig,Ezra Michael Koenig,US,Male,14000000,39,04/08/1984,April,8,1984,Music
Marcus Mumford,Marcus Oliver Johnstone Mumford,GB,Male,12000000,36,01/31/1987,January,31,1987,Music
Dan Reynolds ,Daniel Coulter Reynolds,US,Male,14000000,36,07/14/1987,July,14,1987,Music
Hayley Williams,Hayley Nichole Williams,US,Female,10000000,35,12/27/1988,December,27,1988,Music
Sam Hunt ,Samuel Lowry Hunt,US,Male,3000000,39,12/08/1984,December,8,1984,Music
Tyler Joseph,Tyler Robert Joseph,US,Male,16000000,35,12/01/1988,December,1,1988,Music
Billie Eilish ,Billie Eilish Pirate Baird O'Connell,US,Female,30000000,22,12/18/2001,December,18,2001,Music
Khalid ,Khalid Donnel Robinson,US,Male,10000000,25,02/11/1998,February,11,1998,Music
Cardi B ,Belcalis Marlenis Almánzar,US,Female,80000000,31,10/11/1992,October,11,1992,Music
Megan Thee Stallion ,Megan Jovon Ruth Pete,US,Female,14000000,28,02/15/1995,February,15,1995,Music
Travis Scott ,Jacques Berman Webster II,US,Male,60000000,31,04/30/1992,April,30,1992,Music
Camila Cabello ,Karla Camila Cabello Estrabao,US,Female,18000000,26,03/03/1997,March,3,1997,Music
Shawn Mendes ,Shawn Peter Raul Mendes,CA,Male,25000000,25,08/08/1998,August,8,1998,Music
