Celebrity,Name,Nationality,Gender,Estimated Net Worth,Age at end of 2023,Birth Date,Birth Month,Birth Day,Birth Year,Industry
Dua Lipa ,Dua Lipa,GB,Female,35000000,28,08/22/1995,August,22,1995,Music
Halsey ,Ashley Nicolette Frangipane,US,Female,5000000,29,09/29/1994,September,29,1994,Music
Janelle Monáe ,Janelle Monáe Robinson,US,Female,12000000,38,12/01/1985,December,1,1985,"Music, Acting"
Miley Cyrus ,Destiny Hope Cyrus,US,Female,160000000,31,11/23/1992,November,23,1992,"Music, Acting"
Taylor Swift ,Taylor Alison Swift,US,Female,400000000,34,12/13/1989,December,13,1989,Music
Harry Styles ,Harry Edward Styles,GB,Male,120000000,29,02/01/1994,February,1,1994,"Music, Acting"
Lizzo ,Melissa Viviane Jefferson,US,Female,40000000,35,04/27/1988,April,27,1988,Music
Post Malone ,Austin Richard Post,US,Male,45000000,28,07/04/1995,July,4,1995,Music
Lewis Capaldi ,Lewis Marc Capaldi,GB,Male,10000000,27,10/07/1996,October,7,1996,Music
Niall Horan ,Niall James Horan,IE,Male,60000000,30,09/13/1993,September,13,1993,Music
Demi Lovato ,Demetria Devonne Lovato,US,Female,40000000,31,08/20/1992,August,20,1992,"Music, Acting"
LeBron James,LeBron Raymone James,US,Male,1000000000,38,12/30/1984,December,30,1984,Athletics
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,PT,Male,500000000,38,02/05/1985,February,5,1985,Athletics
Lionel Messi,Lionel Andrés Messi,AR,Male,400000000,36,06/24/1987,June,24,1987,Athletics
Tom Brady,Thomas Edward Patrick Brady Jr.,US,Male,300000000,46,08/03/1977,August,3,1977,Athletics
Usain Bolt,Usain St Leo Bolt,JM,Male,90000000,37,08/21/1986,August,21,1986,Athletics
Novak Djokovic,Novak Djokovic,RS,Male,240000000,36,05/22/1987,May,22,1987,Athletics
Roger Federer,Roger Federer,CH,Male,500000000,42,08/08/1981,August,8,1981,Athletics
Peyton Manning,Peyton Williams Manning,US,Male,250000000,47,03/24/1976,March,24,1976,Athletics
Rafael Nadal,Rafael Nadal Parera,ES,Male,225000000,37,06/03/1986,June,3,1986,Athletics
Tiger Woods,Eldrick Tont Woods,US,Male,1100000000,47,12/30/1975,December,30,1975,Athletics
Alex Rodriguez,Alexander Emmanuel Rodriguez,US,Male,350000000,48,07/27/1975,July,27,1975,Athletics
Derek Jeter,Derek Sanderson Jeter,US,Male,200000000,49,06/26/1974,June,26,1974,Athletics
Wayne Gretzky,Wayne Douglas Gretzky,CA,Male,280000000,62,01/26/1961,January,26,1961,Athletics
Michael Phelps,Michael Fred Phelps II,US,Male,100000000,38,06/30/1985,June,30,1985,Athletics
Shaquille O'Neal,Shaquille Rashaun O'Neal,US,Male,400000000,51,03/06/1972,March,6,1972,Athletics
Floyd Mayweather Jr.,Floyd Joy Mayweather Jr.,US,Male,450000000,46,02/24/1977,February,24,1977,Athletics
Tom Daley,Thomas Robert Daley,GB,Male,5000000,29,05/21/1994,May,21,1994,Athletics
Lewis Hamilton,Lewis Carl Davidson Hamilton,GB,Male,285000000,38,01/07/1985,January,7,1985,Athletics
Kevin Durant,Kevin Wayne Durant,US,Male,300000000,34,09/29/1988,September,29,1988,Athletics
Stephen Curry,Wardell Stephen Curry II,US,Male,160000000,35,03/14/1988,March,14,1988,Athletics
Giannis Antetokounmpo,Giannis Sina Ugo Antetokounmpo,GR,Male,80000000,29,12/06/1994,December,6,1994,Athletics
Neymar Jr.,Neymar da Silva Santos Júnior,BR,Male,200000000,31,02/05/1992,February,5,1992,Athletics
Zlatan Ibrahimovic,Zlatan Ibrahimovic,SE,Male,200000000,41,10/03/1981,October,3,1981,Athletics
Conor McGregor,Conor Anthony McGregor,IE,Male,280000000,35,07/14/1988,July,14,1988,Athletics
Anthony Joshua,Anthony Oluwafemi Olaseni Joshua,GB,Male,80000000,33,10/15/1989,October,15,1989,Athletics
Mike Tyson,Michael Gerard Tyson,US,Male,10000000,57,06/30/1966,June,30,1966,Athletics
Manny Pacquiao,Emmanuel Dapidran Pacquiao,PH,Male,220000000,45,12/17/1978,December,17,1978,Athletics
Chris Froome,Christopher Clive Froome,GB,Male,22000000,38,05/20/1985,May,20,1985,Athletics
Serena Williams,Serena Jameka Williams,US,Female,250000000,42,09/26/1981,September,26,1981,Athletics
Simone Biles,Simone Arianne Biles,US,Female,16000000,26,03/14/1997,March,14,1997,Athletics
Naomi Osaka,Naomi Osaka,JP,Female,65000000,25,10/16/1997,October,16,1997,Athletics
Alex Morgan,Alexandra Patricia Morgan,US,Female,5000000,34,07/02/1989,July,2,1989,Athletics
Megan Rapinoe,Megan Anna Rapinoe,US,Female,5000000,38,07/05/1985,July,5,1985,Athletics
Venus Williams,Venus Ebony Starr Williams,US,Female,95000000,43,06/17/1980,June,17,1980,Athletics
Maria Sharapova,Maria Yuryevna Sharapova,RU,Female,180000000,36,04/19/1987,April,19,1987,Athletics
Ronda Rousey,Ronda Jean Rousey,US,Female,14000000,36,02/01/1987,February,1,1987,Athletics
Lindsey Vonn,Lindsey Caroline Vonn,US,Female,7000000,39,10/18/1984,October,18,1984,Athletics
Danica Patrick,Danica Sue Patrick,US,Female,60000000,41,03/25/1982,March,25,1982,Athletics
Abby Wambach,Mary Abigail Wambach,US,Female,5000000,43,06/02/1980,June,2,1980,Athletics
Mia Hamm,Mariel Margaret Hamm,US,Female,10000000,51,03/17/1972,March,17,1972,Athletics
Abby Dahlkemper,Abigail Lynn Dahlkemper,US,Female,500000,30,05/13/1993,May,13,1993,Athletics
Marta Vieira da Silva,Marta Vieira da Silva,BR,Female,13000000,37,02/19/1986,February,19,1986,Athletics
Sue Bird,Suzanne Brigit Bird,US,Female,10000000,43,10/16/1980,October,16,1980,Athletics
Diana Taurasi,Diana Lorena Taurasi,US,Female,3500000,41,06/11/1982,June,11,1982,Athletics
Candace Parker,Candace Nicole Parker,US,Female,3000000,37,04/19/1986,April,19,1986,Athletics
Breanna Stewart,Breanna Mackenzie Stewart,US,Female,1000000,28,08/27/1994,August,27,1994,Athletics
Ashleigh Barty,Ashleigh Barty,AU,Female,20000000,26,04/24/1996,April,24,1996,Athletics
Katie Ledecky,Kathleen Genevieve Ledecky,US,Female,5000000,25,03/17/1997,March,17,1997,Athletics
Simone Manuel,Simone Ashley Manuel,US,Female,3000000,27,08/02/1996,August,2,1996,Athletics
Allyson Felix,Allyson Michelle Felix,US,Female,4500000,38,11/18/1985,November,18,1985,Athletics
Shelly-Ann Fraser-Pryce,Ann Fraser Smith,JM,Female,4000000,36,12/27/1986,December,27,1986,Athletics
Joe Biden,Joseph Robinette Biden Jr.,US,Male,10000000,81,11/20/1942,November,20,1942,Politics
Kamala Harris,Kamala Devi Harris,US,Female,7000000,59,10/20/1964,October,20,1964,Politics
Nancy Pelosi,Nancy Patricia Pelosi,US,Female,120000000,83,03/26/1940,March,26,1940,Politics
Mitch McConnell,Addison Mitchell McConnell Jr.,US,Male,30000000,81,02/20/1942,February,20,1942,Politics
Chuck Schumer,Charles Ellis Schumer,US,Male,70000000,73,11/23/1950,November,23,1950,Politics
Elizabeth Warren,Elizabeth Ann Herring,US,Female,73000000,74,06/22/1949,June,22,1949,Politics
Ted Cruz,Rafael Edward Cruz,US,Male,4000000,52,12/22/1970,December,22,1970,Politics
Bernie Sanders,Bernard Sanders,US,Male,3000000,82,09/08/1941,September,8,1941,Politics
Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez,US,Female,200000,34,10/13/1989,October,13,1989,Politics
Marco Rubio,Marco Antonio Rubio,US,Male,200000,52,05/28/1971,May,28,1971,Politics
Mitt Romney,Willard Mitt Romney,US,Male,250000000,76,03/12/1947,March,12,1947,Politics
Gavin Newsom,Gavin Christopher Newsom,US,Male,20000000,56,10/10/1967,October,10,1967,Politics
Andrew Cuomo,Andrew Mark Cuomo,US,Male,3000000,66,12/06/1957,December,6,1957,Politics
Ron DeSantis,Ronald Dion DeSantis,US,Male,1000000,43,09/14/1978,September,14,1978,Politics
Gretchen Whitmer,Gretchen Esther Whitmer,US,Female,100000,52,08/23/1971,August,23,1971,Politics
Pete Buttigieg,Peter Paul Montgomery Buttigieg,US,Male,250000,41,01/19/1982,January,19,1982,Politics
Stacey Abrams,Stacey Yvonne Abrams,US,Female,21000000,49,12/09/1973,December,9,1973,Politics
Amy Klobuchar,Amy Jean Klobuchar,US,Female,640000,63,05/25/1960,May,25,1960,Politics
Rand Paul,Randal Howard Paul,US,Male,1500000,60,01/07/1963,January,7,1963,Politics
Mike Pence,Michael Richard Pence,US,Male,2000000,64,06/07/1959,June,7,1959,Politics
Cory Booker,Cory Anthony Booker,US,Male,700000,54,04/27/1969,April,27,1969,Politics
Kirsten Gillibrand,Kirsten Elizabeth Gillibrand,US,Female,100000,57,12/09/1966,December,9,1966,Politics
John Kasich,John Richard Kasich,US,Male,10000000,71,05/13/1952,May,13,1952,Politics
Chris Christie,Christopher James Christie,US,Male,20000000,61,09/06/1962,September,6,1962,Politics
Nikki Haley,Nimrata Nikki Randhawa Haley,US,Female,60000000,51,01/20/1972,January,20,1972,Politics
Ted Lieu,Ted W. Lieu,US,Male,100000,54,03/29/1969,March,29,1969,Politics
Adam Schiff,Adam Bennett Schiff,US,Male,60000000,63,06/22/1960,June,22,1960,Politics
Ted Yoho,Theodore Scott Yoho,US,Male,1500000,67,04/13/1955,April,13,1955,Politics
Tulsi Gabbard,Tulsi Gabbard,US,Female,1000000,42,04/12/1981,April,12,1981,Politics
Dan Crenshaw,Daniel Reed Crenshaw,US,Male,2000000,40,03/14/1984,March,14,1984,Politics
Ilhan Omar,Ilhan Abdullahi Omar,US,Female,83000000,41,10/04/1982,October,4,1982,Politics
Eric Swalwell,Eric Michael Swalwell,US,Male,2000000,43,11/16/1980,November,16,1980,Politics
Jim Jordan,James Daniel Jordan,US,Male,35000000,59,02/17/1964,February,17,1964,Politics
Ayanna Pressley,Ayanna Soyini Pressley,US,Female,5000000,49,02/03/1974,February,3,1974,Politics
Tom Cotton,Thomas Bryant Cotton,US,Male,4000000,46,05/13/1977,May,13,1977,Politics
Josh Hawley,Joshua David Hawley,US,Male,1500000,43,12/31/1979,December,31,1979,Politics
Joni Ernst,Joni Kay Ernst,US,Female,100000,52,07/01/1970,July,1,1970,Politics
Mark Meadows,Mark Randall Meadows,US,Male,30000000,64,07/28/1959,July,28,1959,Politics
Steve Bannon,Stephen Kevin Bannon,US,Male,20000000,70,11/27/1953,November,27,1953,Politics
Mike Pompeo,Michael Richard Pompeo,US,Male,500000,59,12/30/1963,December,30,1963,Politics
John Bolton,John Robert Bolton,US,Male,3000000,75,11/20/1948,November,20,1948,Politics
Susan Collins,Susan Margaret Collins,US,Female,45000000,71,12/07/1952,December,7,1952,Politics
Lisa Murkowski,Lisa Ann Murkowski,US,Female,1500000,65,05/22/1957,May,22,1957,Politics
Jim Clyburn,James Enos Clyburn,US,Male,3000000,83,07/21/1940,July,21,1940,Politics
Mitch Landrieu,Mitchell Joseph Landrieu,US,Male,5000000,62,08/16/1960,August,16,1960,Politics
Tom Perez,Thomas Edward Perez,US,Male,1300000,61,10/07/1961,October,7,1961,Politics
William Barr,William Pelham Barr,US,Male,50000000,73,05/23/1950,May,23,1950,Politics
Joe Manchin,Joseph Manchin III,US,Male,8000000,76,08/24/1947,August,24,1947,Politics
Tom Reed,Thomas W. Reed II,US,Male,100000,51,11/18/1971,November,18,1971,Politics
Tom Rice,Hugh Thompson Rice Jr.,US,Male,1000000,64,08/04/1957,August,4,1957,Politics
Hakeem Jeffries,Hakeem Sekou Jeffries,US,Male,9000000,52,08/04/1970,August,4,1970,Politics
Judy Chu,Judy May Chu,US,Female,1900000,69,07/07/1953,July,7,1953,Politics
Debbie Wasserman Schultz,Deborah Wasserman Schultz,US,Female,100000,56,09/27/1966,September,27,1966,Politics
Val Demings,Valdez Venita Demings,US,Female,375000,66,03/12/1957,March,12,1957,Politics
Sheila Jackson Lee,Sheila Jackson Lee,US,Female,8000000,73,01/12/1950,January,12,1950,Politics
Ro Khanna,Rohit Khanna,US,Male,100000,47,09/13/1976,September,13,1976,Politics
Eric Holcomb,Eric Joseph Holcomb,US,Male,1500000,56,05/02/1968,May,2,1968,Politics
Greg Abbott,Gregory Wayne Abbott,US,Male,23000000,66,11/13/1957,November,13,1957,Politics
Charlie Baker,Charles Duane Baker Jr.,US,Male,20000000,66,11/13/1956,November,13,1956,Politics
Janet Mills,Janet Trafton Mills,US,Female,100000,75,12/30/1947,December,30,1947,Politics
Kate Brown,Katherine Brown,US,Female,200000000,63,06/21/1960,June,21,1960,Politics
Phil Murphy,Philip Dunton Murphy,US,Male,80000000,66,08/16/1957,August,16,1957,Politics
Kim Reynolds,Kimberly Kay Reynolds,US,Female,300000000,63,08/04/1959,August,4,1959,Politics
Kay Ivey,Kay Ellen Ivey,US,Female,1000000,78,10/15/1944,October,15,1944,Politics
Kristi Noem,Kristi Lynn Noem,US,Female,6000000,51,11/30/1971,November,30,1971,Politics
Laura Kelly,Laura Jean Kelly,US,Female,3000000,70,01/24/1950,January,24,1950,Politics
Andy Beshear,Andrew Grulich Beshear,US,Male,5000000,39,11/29/1977,November,29,1977,Politics
Jared Polis,Jared Schutz Polis,US,Male,450000000,48,05/12/1975,May,12,1975,Politics
J.B. Pritzker,Jay Robert Pritzker,US,Male,3600000000,58,01/19/1965,January,19,1965,Politics
Tony Evers,Anthony Steven Evers,US,Male,2000000,71,11/05/1951,November,5,1951,Politics
Brian Kemp,Brian Porter Kemp,US,Male,300000000,59,11/02/1963,November,2,1963,Politics
Doug Ducey,Douglas Anthony Ducey,US,Male,100000,59,10/09/1964,October,9,1964,Politics
Tim Walz,Timothy James Walz,US,Male,100000,59,04/06/1964,April,6,1964,Politics
David Ige,David Yutaka Ige,US,Male,100000,66,01/15/1957,January,15,1957,Politics
Ralph Northam,Ralph Shearer Northam,US,Male,200000000,64,09/13/1959,September,13,1959,Politics
Snoop Dogg,Calvin Cordozar Broadus Jr.,US,Male,150000000,52,10/20/1971,October,20,1971,"Music, Entrepreneur"
Alisha Lehmann,Alisha Lehmann,CH,Female,2000000,24,01/21/1999,January,21,1999,Athletics
Kate Middleton,Catherine Elizabeth Middleton,GB,Female,10000000,41,01/09/1982,January,9,1982,Royalty
Meghan Markle,Rachel Meghan Markle,US,Female,60000000,42,08/04/1981,August,4,1981,Royalty
Chrissy Teigen,Christine Diane Teigen,US,Female,75000000,38,11/30/1985,November,30,1985,"Modeling, Television"
David Dobrik,David Julian Dobrik,US,Male,8000000,27,07/23/1996,July,23,1996,Media
James Charles,James Charles Dickinson,US,Male,22000000,24,05/23/1999,May,23,1999,Media
Zach King,Zachary King,US,Male,6500000,33,02/04/1990,February,4,1990,Media
Emma Chamberlain,Emma Frances Chamberlain,US,Female,12000000,22,05/22/2001,May,22,2001,Media
Gigi Hadid,Jelena Noura Hadid,US,Female,20000000,28,04/23/1995,April,23,1995,"Modeling, Fashion"
Huda Kattan,Huda Kattan,AE,Female,560000000,40,10/02/1983,October,2,1983,Media
Shane Dawson,Shane Lee Yaw,US,Male,15000000,35,07/19/1988,July,19,1988,Media
Lilly Singh,Lilly Saini Singh,CA,Female,23000000,35,09/26/1988,September,26,1988,Media
Gary Vaynerchuk,Gennady Vaynerchuk,BY,Male,200000000,48,11/14/1975,November,14,1975,Entrepreneur
Michelle Phan,Michelle Phan,US,Female,50000000,36,04/11/1987,April,11,1987,"Media, Entrepreneurship"
Jeffree Star,Jeffrey Lynn Steininger Jr.,US,Male,200000000,38,11/15/1985,November,15,1985,"Media, Entrepreneurship"
Markiplier ,Mark Edward Fischbach,US,Male,35000000,34,06/28/1989,June,28,1989,Media
Liza Koshy,Elizabeth Shaila Koshy,US,Female,6000000,27,03/31/1996,March,31,1996,Media
PewDiePie ,Felix Arvid Ulf Kjellberg,SE,Male,64000000,34,10/24/1989,October,24,1989,Media
KSI ,Olajide William Olatunji,GB,Male,27000000,30,06/19/1993,June,19,1993,"Media, Music"
Ninja ,Richard Tyler Blevins,US,Male,40000000,32,06/05/1991,June,5,1991,Media
Tana Mongeau,Montana Katharine Mongeau,US,Female,4000000,25,06/24/1998,June,24,1998,Media
NikkieTutorials ,Nikkie de Jager,NL,Female,5000000,29,03/02/1994,March,2,1994,Media
MrBeast ,Jimmy Donaldson,US,Male,100000000,25,05/07/1998,May,7,1998,Media
Amanda Cerny,Amanda Rachelle Cerny,US,Female,1000000,32,06/26/1991,June,26,1991,Media
Casey Neistat,Casey Owen Neistat,US,Male,20000000,42,03/25/1981,March,25,1981,Media
JoJo Siwa,Joelle Joanie Siwa,US,Female,20000000,20,05/19/2003,May,19,2003,Music
Ryan's World ,Ryan Kaji,US,Male,140000000,12,10/06/2011,October,6,2011,Media
Miranda Sings ,Colleen Mae Ballinger,US,Female,10000000,37,11/21/1986,November,21,1986,Media
Nigahiga ,Ryan Higa,US,Male,10000000,33,06/06/1990,June,6,1990,Media
Rosanna Pansino,Rosanna Reardon,US,Female,9000000,38,06/08/1985,June,8,1985,Media
Anna Akana,Anna Kay Akana,US,Female,317000,34,08/18/1989,August,18,1989,Media
Rachel Levin,Rachel Claire Levin,US,Female,8000000,28,02/24/1995,February,24,1995,Media
King Bach ,Andrew B. Bachelor,CA,Male,3000000,35,06/26/1988,June,26,1988,Media
Gabbie Hanna,Gabrielle Jeannette Hanna,US,Female,2000000,32,02/07/1991,February,7,1991,"Media, Music"
LeJuan James,Juan Atiles,DO,Male,750000,38,07/19/1985,July,19,1985,Media
Brittany Broski,Brittany Tomlinson,US,Female,100000,25,07/22/1998,July,22,1998,Media
Logan Paul,Logan Alexander Paul,US,Male,25000000,28,04/01/1995,April,1,1995,"Media, Athletics"
Lele Pons,Eleonora Pons Maronese,VE,Female,3000000,27,06/25/1996,June,25,1996,Media
Jenna Marbles,Jenna Nicole Mourey,US,Female,8000000,37,09/15/1986,September,15,1986,Media
Cameron Dallas,Cameron Alexander Dallas,US,Male,5000000,29,09/08/1994,September,8,1994,Media
Nash Grier,Hamilton Nash Grier,US,Male,4000000,26,12/28/1997,December,28,1997,Media
Brandon Armstrong,Brandon Armstrong,US,Male,3000000,35,08/28/1988,August,28,1988,Media
Justine Ezarik ,Justine Ezarik,US,Female,2500000,39,03/20/1984,March,20,1984,"Media, Technology"
Jake Paul,Jacob Joseph Paul,US,Male,60000000,26,01/17/1997,January,17,1997,"Media, Athletics"
Hayes Grier,Benjamin Hayes Grier,US,Male,3000000,23,12/08/2000,December,8,2000,Media
Bethany Mota,Bethany Noel Mota,US,Female,3000000,28,11/07/1995,November,7,1995,"Media, Fashion"
Jessi Smiles,Jessica Vazquez,US,Female,100000,30,08/17/1993,August,17,1993,Media
Mark Dohner,Mark Dohner,US,Male,100000,30,10/08/1993,October,8,1993,Media
Joe Sugg,Joseph Graham Sugg,GB,Male,2000000,32,09/08/1991,September,8,1991,Media
Juanpa Zurita,Juan Pablo Martínez Zurita,MX,Male,1500000,27,03/29/1996,March,29,1996,Media
Addison Rae,Addison Rae Easterling,US,Female,15000000,23,10/06/2000,October,6,2000,Media
Charli D'Amelio,Charli Grace D'Amelio,US,Female,3000000,19,05/01/2004,May,1,2004,Media
Loren Gray,Loren Gray Beech,US,Female,5000000,21,04/19/2002,April,19,2002,Media
Dixie D'Amelio,Dixie Jane D'Amelio,US,Female,10000000,22,08/12/2001,August,12,2001,Media
Josh Richards,Joshua Christian Nanai,CA,Male,5000000,21,01/31/2002,January,31,2002,Media
Bryce Hall,Bryce Hall,US,Male,2000000,24,08/14/1999,August,14,1999,Media
Amelie Zilber,Amelie Zilber,US,Female,100000,21,03/27/2002,March,27,2002,Media
Siya Kakkar,Siya Kakkar,IN,Female,100000,19,05/09/2004,May,9,2004,Music
Alex Warren,Alex Warren,US,Male,5000000,23,05/18/2000,May,18,2000,Media
Nikita Dragun,Nikita Dragun,US,Female,3000000,27,01/31/1996,January,31,1996,Media
Avani Gregg,Avani Gregg,US,Female,4000000,21,11/23/2002,November,23,2002,Media
Noah Beck,Noah Beck,US,Male,5000000,22,05/04/2001,May,4,2001,Media
Bella Poarch,Bella Poarch,US,Female,2000000,22,02/08/2001,February,8,2001,Media
Curtis Lepore,Curtis Lepore,US,Male,5000000,40,06/28/1983,June,28,1983,Media
Rebecca Black,Rebecca Renee Black,US,Female,3000000,26,06/21/1997,June,21,1997,"Media, Music"
Donald Trump,Donald John Trump,US,Male,2500000000,77,06/14/1946,June,14,1946,"Entrepreneur, Television, Politics"
Mark Zuckerberg,Mark Elliot Zuckerberg,US,Male,116000000000,39,05/14/1984,May,14,1984,Technology
Richard Branson,Sir Richard Charles Nicholas Branson,GB,Male,4000000000,73,07/18/1950,July,18,1950,Entrepreneur
Warren Buffett,Warren Edward Buffett,US,Male,79000000000,92,08/30/1930,August,30,1930,Entrepreneur
Larry Page,Lawrence Edward Page,US,Male,82000000000,50,03/26/1973,March,26,1973,Technology 
Sergey Brin,Sergey Mikhaylovich Brin,US,Male,78000000000,49,08/21/1973,August,21,1973,Technology 
Jack Ma,Ma Yun,CN,Male,24600000000,59,09/10/1964,September,10,1964,Entrepreneur
Larry Ellison,Lawrence Joseph Ellison,US,Male,135000000000,79,08/17/1944,August,17,1944,Technology 
Rupert Murdoch,Keith Rupert Murdoch,US,Male,22100000000,92,03/11/1931,March,11,1931,Media
Michael Bloomberg,Michael Rubens Bloomberg,US,Male,94500000000,81,02/14/1942,February,14,1942,"Entrepreneur, Politics"
Arianna Huffington,Arianna Stassinopoulos,GR,Female,100000000,76,07/15/1950,July,15,1950,Media
Mark Cuban,Mark Cuban,US,Male,4600000000,65,07/31/1958,July,31,1958,Entrepreneur
Sheryl Sandberg,Sheryl Kara Sandberg,US,Female,1600000000,53,08/28/1969,August,28,1969,Technology
Tim Cook,Timothy Donald Cook,US,Male,1900000000,62,11/01/1960,November,1,1960,Technology 
Jack Dorsey,Jack Patrick Dorsey,US,Male,4500000000,46,11/19/1976,November,19,1976,Technology 
Reid Hoffman,Reid Garrett Hoffman,US,Male,2400000000,56,08/05/1967,August,5,1967,Technology
Peter Thiel,Peter Andreas Thiel,DE,Male,9700000000,56,10/11/1967,October,11,1967,Technology
Martha Stewart,Martha Helen Kostyra,US,Female,650000000,82,08/03/1941,August,3,1941,Media
T.I.,Clifford Joseph Harris Jr.,US,Male,60000000,43,09/25/1980,September,25,1980,Music
Wale,Olubowale Victor Akintimehin,US,Male,5000000,39,09/21/1984,September,21,1984,Music
2 Chainz,Tauheed Epps,US,Male,12000000,46,09/12/1977,September,12,1977,Music
Gucci Mane,Radric Davis,US,Male,12000000,43,02/12/1980,February,12,1980,Music
Wiz Khalifa,Cameron Jibril Thomaz,US,Male,70000000,36,09/08/1987,September,8,1987,Music
Rick Ross,William Leonard Roberts II,US,Male,40000000,47,01/28/1976,January,28,1976,Music
Ice Cube,O'Shea Jackson Sr.,US,Male,160000000,54,06/15/1969,June,15,1969,"Music, Film"
Kid Cudi,Scott Ramon Seguro Mescudi,US,Male,18000000,39,01/30/1984,January,30,1984,Music
Travis Scott,Jacques Webster II,US,Male,60000000,32,04/30/1991,April,30,1991,Music
Luke Bryan,Thomas Luther Bryan,US,Male,160000000,47,07/17/1976,July,17,1976,Music
Blake Shelton,Blake Tollison Shelton,US,Male,120000000,47,06/18/1976,June,18,1976,Music
Morgan Wallen,Morgan Cole Wallen,US,Male,12000000,30,05/13/1993,May,13,1993,Music
Keith Urban,Keith Lionel Urban,AU,Male,75000000,56,10/26/1967,October,26,1967,Music
Jason Aldean,Jason Aldine Williams,US,Male,50000000,46,02/28/1977,February,28,1977,Music
Thomas Rhett,Thomas Rhett Akins Jr.,US,Male,5000000,33,03/30/1990,March,30,1990,Music
Eric Church,Kenneth Eric Church,US,Male,14000000,46,05/03/1977,May,3,1977,Music
Tyga,Michael Ray Stevenson,US,Male,7000000,34,11/19/1989,November,19,1989,Music
Logic,Sir Robert Bryson Hall II,US,Male,14000000,33,01/22/1990,January,22,1990,Music
YG,Keenon Daequan Ray Jackson,US,Male,5000000,33,03/09/1990,March,9,1990,Music
Big Sean,Sean Michael Leonard Anderson,US,Male,16000000,35,03/25/1988,March,25,1988,Music
Lil Uzi Vert,Symere Woods,US,Male,20000000,29,07/31/1994,July,31,1994,Music
Chance the Rapper,Chancelor Johnathan Bennett,US,Male,25000000,30,04/16/1993,April,16,1993,Music
"Tyler, The Creator",Tyler Gregory Okonma,US,Male,30000000,32,03/06/1991,March,6,1991,Music
A$AP Rocky,Rakim Athelaston Mayers,US,Male,20000000,35,10/03/1988,October,3,1988,Music
Blueface,Jonathan Michael Porter,US,Male,4000000,26,01/20/1997,January,20,1997,Music
Saweetie,Diamonté Quiava Valentin Harper,US,Female,5000000,30,07/02/1993,July,2,1993,Music
Ty Dolla $ign,Tyrone William Griffin Jr.,US,Male,5000000,38,04/13/1985,April,13,1985,Music
Lil Nas X,Montero Lamar Hill,US,Male,5000000,24,04/09/1999,April,9,1999,Music
Jack Harlow,Jackman Thomas Harlow,US,Male,5000000,25,03/13/1998,March,13,1998,Music
Takeoff,Kirshnik Khari Ball,US,Male,16000000,29,06/18/1994,June,18,1994,Music
Meek Mill,Robert Rihmeek Williams,US,Male,20000000,36,05/06/1987,May,6,1987,Music
Diddy,Sean John Combs,US,Male,1000000000,54,11/04/1969,November,4,1969,Music
Dr. Dre,Andre Romelle Young,US,Male,500000000,58,02/18/1965,February,18,1965,Music
John Cena,John Felix Anthony Cena,US,Male,80000000,46,04/23/1977,April,23,1977,"Film, Wrestling"
